DATE,DAUTOSA
01/01/1997,609.9
01/02/1997,579.8
01/03/1997,586.6
01/04/1997,563.1
01/05/1997,560.6
01/06/1997,540
01/07/1997,583.5
01/08/1997,592.2
01/09/1997,545.5
01/10/1997,555.6
01/11/1997,554.5
01/12/1997,591
01/01/1998,516.8
01/02/1998,537.8
01/03/1998,547.2
01/04/1998,563.5
01/05/1998,598.8
01/06/1998,586.5
01/07/1998,491.1
01/08/1998,509.3
01/09/1998,588.7
01/10/1998,606.4
01/11/1998,543
01/12/1998,616.3
01/01/1999,551
01/02/1999,581.4
01/03/1999,569.4
01/04/1999,575.7
01/05/1999,581.6
01/06/1999,579.1
01/07/1999,585.4
01/08/1999,596.6
01/09/1999,569.8
01/10/1999,559.7
01/11/1999,575
01/12/1999,593.8
01/01/2000,607.1
01/02/2000,625.3
01/03/2000,583.6
01/04/2000,572.9
01/05/2000,570.4
01/06/2000,560.2
01/07/2000,548.1
01/08/2000,554.8
01/09/2000,572.9
01/10/2000,544
01/11/2000,525.2
01/12/2000,497.1
01/01/2001,555.5
01/02/2001,573.1
01/03/2001,523.8
01/04/2001,515.9
01/05/2001,522.7
01/06/2001,521.7
01/07/2001,486.4
01/08/2001,472.1
01/09/2001,482.7
01/10/2001,658.9
01/11/2001,510.6
01/12/2001,430.9
01/01/2002,447.4
01/02/2002,478.2
01/03/2002,484.7
01/04/2002,516.2
01/05/2002,474.6
01/06/2002,487.2
01/07/2002,523.8
01/08/2002,525.4
01/09/2002,467.4
01/10/2002,459.5
01/11/2002,466.6
01/12/2002,485.5
01/01/2003,480.5
01/02/2003,439.3
01/03/2003,452.2
01/04/2003,446.8
01/05/2003,439.8
01/06/2003,466.1
01/07/2003,459.3
01/08/2003,474.9
01/09/2003,456.9
01/10/2003,436.9
01/11/2003,467.6
01/12/2003,452.2
01/01/2004,429.4
01/02/2004,452.6
01/03/2004,462.1
01/04/2004,428
01/05/2004,469.8
01/06/2004,426.9
01/07/2004,449
01/08/2004,433.2
01/09/2004,438.5
01/10/2004,429.8
01/11/2004,438.1
01/12/2004,476
01/01/2005,446.4
01/02/2005,446.3
01/03/2005,464.5
01/04/2005,473.8
01/05/2005,446.4
01/06/2005,442.3
01/07/2005,481.8
01/08/2005,465.5
01/09/2005,473.1
01/10/2005,432.9
01/11/2005,458.4
01/12/2005,442.1
01/01/2006,538.4
01/02/2006,460.7
01/03/2006,443.6
01/04/2006,466.3
01/05/2006,438.7
01/06/2006,437.2
01/07/2006,463.4
01/08/2006,440.2
01/09/2006,440
01/10/2006,427.1
01/11/2006,418.5
01/12/2006,442.6
01/01/2007,439.5
01/02/2007,433.8
01/03/2007,422.7
01/04/2007,423.6
01/05/2007,451.6
01/06/2007,434.5
01/07/2007,413.2
01/08/2007,424.8
01/09/2007,431.3
01/10/2007,429.6
01/11/2007,459
01/12/2007,433.7
01/01/2008,429.6
01/02/2008,409.1
01/03/2008,395.8
01/04/2008,390.4
01/05/2008,428
01/06/2008,410
01/07/2008,374.1
01/08/2008,383.3
01/09/2008,370.5
01/10/2008,321.2
01/11/2008,283.5
01/12/2008,295.4
01/01/2009,241.7
01/02/2009,230.7
01/03/2009,252.9
01/04/2009,251.7
01/05/2009,267.9
01/06/2009,279.3
01/07/2009,345.7
01/08/2009,452.5
01/09/2009,276.7
01/10/2009,303.7
01/11/2009,316.5
01/12/2009,339.1
01/01/2010,301.9
01/02/2010,286.7
01/03/2010,329
01/04/2010,318
01/05/2010,329.2
01/06/2010,316.7
01/07/2010,320.8
01/08/2010,314.7
01/09/2010,316.9
01/10/2010,313
01/11/2010,313
01/12/2010,331.6
01/01/2011,326.066
01/02/2011,354.456
01/03/2011,370.821
01/04/2011,365.638
01/05/2011,325.094
01/06/2011,317.059
01/07/2011,326.515
01/08/2011,329.266
01/09/2011,344.445
01/10/2011,367.63
01/11/2011,361.391
01/12/2011,357.809
01/01/2012,410.436
01/02/2012,443.872
01/03/2012,430.812
01/04/2012,426.893
01/05/2012,415.506
01/06/2012,408.921
01/07/2012,408.499
01/08/2012,420.225
01/09/2012,434.925
01/10/2012,426.174
01/11/2012,444.474
01/12/2012,449.738
01/01/2013,473.658
01/02/2013,465.454
01/03/2013,456.332
01/04/2013,454.593
01/05/2013,447.546
01/06/2013,459.482
01/07/2013,455.289
01/08/2013,443.766
01/09/2013,450.453
01/10/2013,440.858
01/11/2013,448.007
01/12/2013,437.719
01/01/2014,427.723
01/02/2014,428.759
01/03/2014,457.614
01/04/2014,451.122
01/05/2014,466.744
01/06/2014,495.752
01/07/2014,477.747
01/08/2014,496.443
01/09/2014,470.846
01/10/2014,476.463
01/11/2014,477.662
01/12/2014,483.003
01/01/2015,456.397
01/02/2015,440.863
01/03/2015,469.409
01/04/2015,463.69
01/05/2015,482.954
01/06/2015,473.566
01/07/2015,485.348
01/08/2015,481.055
01/09/2015,467.943
01/10/2015,468.39
01/11/2015,459.188
01/12/2015,446.319
01/01/2016,455.21
01/02/2016,449.395
01/03/2016,426.059
01/04/2016,421.26
01/05/2016,426.932
01/06/2016,424.178
01/07/2016,430.698
01/08/2016,425.276
01/09/2016,436.481
01/10/2016,409.31
01/11/2016,415.296
01/12/2016,425.48
01/01/2017,387.846
01/02/2017,389.975
01/03/2017,383.376
01/04/2017,398.697
01/05/2017,387.275
01/06/2017,373.438
01/07/2017,377.52
01/08/2017,374.805
01/09/2017,404.455
01/10/2017,385.331
01/11/2017,374.941
01/12/2017,355.306
01/01/2018,347.758
01/02/2018,350.286
01/03/2018,342.452
01/04/2018,342.774
01/05/2018,343.075
01/06/2018,335.19
01/07/2018,335.41
01/08/2018,325.84
01/09/2018,334.583
01/10/2018,357.029
01/11/2018,336.349
01/12/2018,336.144
01/01/2019,341.184
01/02/2019,304.326
01/03/2019,316.364
01/04/2019,301.35
01/05/2019,298.543
01/06/2019,296.684
01/07/2019,283.862
01/08/2019,280.333
01/09/2019,292.293
01/10/2019,267.449
