OSEBX,Last,High,Low,Official turnover (NOK)
29.12.95,100.00,,,
02.01.96,101.4633,,,
03.01.96,103.5006,,,
04.01.96,103.411,,,
05.01.96,103.0309,,,
08.01.96,103.9631,,,
09.01.96,103.4211,,,
10.01.96,102.0742,,,
11.01.96,103.0205,,,
12.01.96,102.6329,,,
15.01.96,101.4764,,,
16.01.96,101.2782,,,
17.01.96,100.9799,,,
18.01.96,101.7239,,,
19.01.96,101.803,,,
22.01.96,101.5831,,,
23.01.96,101.1576,,,
24.01.96,101.3914,,,
25.01.96,101.4437,,,
26.01.96,101.0564,,,
29.01.96,100.6752,,,
30.01.96,100.5267,,,
31.01.96,101.2275,,,
01.02.96,101.7404,,,
02.02.96,102.4151,,,
05.02.96,101.97,,,
06.02.96,102.0807,,,
07.02.96,102.4804,,,
08.02.96,102.4683,,,
09.02.96,102.4913,,,
12.02.96,102.6338,,,
13.02.96,102.9874,,,
14.02.96,103.1989,,,
15.02.96,103.0577,,,
16.02.96,103.3398,,,
19.02.96,102.2627,,,
20.02.96,102.111,,,
21.02.96,103.4606,,,
22.02.96,104.6018,,,
23.02.96,105.1772,,,
26.02.96,104.4177,,,
27.02.96,103.6669,,,
28.02.96,103.1445,,,
29.02.96,102.436,,,
01.03.96,104.3164,,,
04.03.96,104.6584,,,
05.03.96,104.7569,,,
06.03.96,104.6419,,,
07.03.96,104.5595,,,
08.03.96,103.5105,,,
11.03.96,103.0259,,,
12.03.96,103.4358,,,
13.03.96,103.4705,,,
14.03.96,103.8715,,,
15.03.96,103.9304,,,
18.03.96,104.8336,,,
19.03.96,105.1959,,,
20.03.96,104.2977,,,
21.03.96,104.3795,,,
22.03.96,104.4952,,,
25.03.96,104.6598,,,
26.03.96,104.0629,,,
27.03.96,104.4638,,,
28.03.96,103.7338,,,
29.03.96,103.3784,,,
01.04.96,103.7287,,,
02.04.96,104.3136,,,
03.04.96,104.377,,,
09.04.96,104.9074,,,
10.04.96,106.4289,,,
11.04.96,107.2376,,,
12.04.96,108.0997,,,
15.04.96,108.7497,,,
16.04.96,107.9606,,,
17.04.96,107.9246,,,
18.04.96,108.6789,,,
19.04.96,109.2464,,,
22.04.96,110.3263,,,
23.04.96,110.6708,,,
24.04.96,110.6813,,,
25.04.96,111.7399,,,
26.04.96,112.7369,,,
29.04.96,112.9898,,,
30.04.96,112.2236,,,
02.05.96,111.9082,,,
03.05.96,111.0691,,,
06.05.96,110.176,,,
07.05.96,110.1288,,,
08.05.96,108.8643,,,
09.05.96,109.2363,,,
10.05.96,109.9385,,,
13.05.96,110.254,,,
14.05.96,110.2653,,,
15.05.96,109.6796,,,
20.05.96,109.7676,,,
21.05.96,111.1835,,,
22.05.96,111.0391,,,
23.05.96,111.5549,,,
24.05.96,111.9014,,,
28.05.96,112.4365,,,
29.05.96,113.196,,,
30.05.96,112.8432,,,
31.05.96,113.1924,,,
03.06.96,112.8478,,,
04.06.96,113.817,,,
05.06.96,114.0997,,,
06.06.96,114.1813,,,
07.06.96,113.2703,,,
10.06.96,115.4212,,,
11.06.96,115.7266,,,
12.06.96,115.8204,,,"259,637,359.00"
13.06.96,115.3602,,,"300,197,585.00"
14.06.96,114.9533,,,"284,658,306.00"
17.06.96,115.0146,,,"213,876,325.00"
18.06.96,115.0507,,,"241,623,775.00"
19.06.96,114.631,,,"277,547,732.00"
20.06.96,114.464,,,"192,785,436.00"
21.06.96,114.2965,,,"157,369,796.00"
24.06.96,115.338,,,"227,672,579.00"
25.06.96,113.9672,,,"231,379,442.00"
26.06.96,114.596,,,"240,596,743.00"
27.06.96,113.7619,,,"205,265,654.00"
28.06.96,114.3976,,,"190,216,498.00"
01.07.96,115.5671,,,"260,589,090.00"
02.07.96,116.176,,,"272,471,515.00"
03.07.96,115.9912,,,"295,115,272.00"
04.07.96,116.6872,,,"194,551,009.00"
05.07.96,116.0541,,,"303,097,547.00"
08.07.96,114.9749,,,"206,886,189.00"
09.07.96,116.2212,,,"218,413,858.00"
10.07.96,116.6739,,,"327,335,438.00"
11.07.96,116.3829,,,"285,188,608.00"
12.07.96,115.2223,,,"257,534,631.00"
15.07.96,114.8755,,,"134,581,075.00"
16.07.96,112.4461,,,"336,647,506.00"
17.07.96,112.3772,,,"337,216,140.00"
18.07.96,111.7774,,,"294,191,758.00"
19.07.96,112.7009,,,"275,190,565.00"
22.07.96,111.97,,,"266,903,201.00"
23.07.96,112.5733,,,"238,263,106.00"
24.07.96,110.5576,,,"260,305,068.00"
25.07.96,111.3181,,,"235,733,066.00"
26.07.96,111.1758,,,"199,433,116.00"
29.07.96,111.5645,,,"154,074,377.00"
30.07.96,110.8787,,,"166,034,925.00"
31.07.96,110.0473,,,"267,413,171.00"
01.08.96,110.8807,,,"294,838,365.00"
02.08.96,111.8763,,,"336,130,090.00"
05.08.96,111.5704,,,"290,521,499.00"
06.08.96,111.9717,,,"307,019,778.00"
07.08.96,112.6513,,,"244,103,169.00"
08.08.96,112.6693,,,"348,252,162.00"
09.08.96,112.3882,,,"272,011,040.00"
12.08.96,111.7328,,,"196,162,837.00"
13.08.96,111.4865,,,"291,481,585.00"
14.08.96,111.4489,,,"281,382,575.00"
15.08.96,111.9285,,,"319,817,729.00"
16.08.96,112.5854,,,"234,716,964.00"
19.08.96,112.4944,,,"297,186,734.00"
20.08.96,112.564,,,"275,006,963.00"
21.08.96,112.9805,,,"396,521,577.00"
22.08.96,113.4959,,,"249,867,162.00"
23.08.96,113.58,,,"287,800,722.00"
26.08.96,112.9156,,,"125,415,077.00"
27.08.96,112.7793,,,"225,511,602.00"
28.08.96,113.3934,,,"265,573,985.00"
29.08.96,113.6418,,,"298,567,790.00"
30.08.96,112.9566,,,"274,517,440.00"
02.09.96,113.6811,,,"150,295,485.00"
03.09.96,112.5673,,,"286,589,335.00"
04.09.96,114.3012,,,"309,233,146.00"
05.09.96,114.0045,,,"260,084,702.00"
06.09.96,114.1785,,,"207,015,687.00"
09.09.96,114.8959,,,"158,836,302.00"
10.09.96,115.1801,,,"309,904,611.00"
11.09.96,114.4425,,,"265,218,564.00"
12.09.96,115.2907,,,"249,150,104.00"
13.09.96,115.6523,,,"247,560,229.00"
16.09.96,116.0822,,,"252,938,422.00"
17.09.96,115.5864,,,"242,294,424.00"
18.09.96,115.1242,,,"205,964,421.00"
19.09.96,115.5256,,,"248,335,434.00"
20.09.96,116.026,,,"238,366,598.00"
23.09.96,115.8921,,,"228,871,931.00"
24.09.96,115.9028,,,"241,203,746.00"
25.09.96,115.9845,,,"238,460,931.00"
26.09.96,116.5829,,,"346,838,834.00"
27.09.96,116.4958,,,"263,284,613.00"
30.09.96,115.381,,,"247,756,216.00"
01.10.96,116.3905,,,"373,529,770.00"
02.10.96,117.7683,,,"341,630,380.00"
03.10.96,117.8116,,,"313,130,504.00"
04.10.96,118.7907,,,"416,174,219.00"
07.10.96,118.9518,,,"315,177,357.00"
08.10.96,119.6054,,,"336,642,370.00"
09.10.96,120.1983,,,"386,548,938.00"
10.10.96,119.6333,,,"275,402,915.00"
11.10.96,120.0859,,,"247,240,942.00"
14.10.96,120.6261,,,"285,411,036.00"
15.10.96,121.5919,,,"370,314,469.00"
16.10.96,120.9691,,,"308,287,219.00"
17.10.96,121.0382,,,"325,664,439.00"
18.10.96,120.682,,,"490,940,155.00"
21.10.96,120.1265,,,"352,002,531.00"
22.10.96,119.6796,,,"394,506,359.00"
23.10.96,118.597,,,"412,083,120.00"
24.10.96,119.5325,,,"361,225,991.00"
25.10.96,119.095,,,"287,468,839.00"
28.10.96,119.5876,,,"254,565,796.00"
29.10.96,118.5473,,,"278,388,354.00"
30.10.96,118.5145,,,"267,390,701.00"
31.10.96,118.348,,,"330,209,088.00"
01.11.96,119.3238,,,"304,088,353.00"
04.11.96,119.3853,,,"187,343,339.00"
05.11.96,120.1281,,,"334,522,288.00"
06.11.96,120.315,,,"430,793,716.00"
07.11.96,119.8358,,,"302,361,056.00"
08.11.96,120.6506,,,"438,735,730.00"
11.11.96,121.6319,,,"402,978,416.00"
12.11.96,121.6862,,,"377,408,515.00"
13.11.96,121.7476,,,"322,285,019.00"
14.11.96,122.1011,,,"424,701,690.00"
15.11.96,123.3319,,,"386,972,135.00"
18.11.96,123.6534,,,"255,091,701.00"
19.11.96,124.4205,,,"362,342,432.00"
20.11.96,124.9134,,,"471,414,334.00"
21.11.96,124.9026,,,"311,614,360.00"
22.11.96,125.7972,,,"439,344,860.00"
25.11.96,125.7621,,,"405,841,617.00"
26.11.96,125.5588,,,"338,338,249.00"
27.11.96,124.8595,,,"286,243,862.00"
28.11.96,125.5137,,,"329,817,684.00"
29.11.96,126.645,,,"363,975,772.00"
02.12.96,128.3127,,,"440,897,221.00"
03.12.96,129.3496,,,"518,675,478.00"
04.12.96,128.3743,,,"624,608,075.00"
05.12.96,129.4758,,,"522,166,295.00"
06.12.96,126.9434,,,"665,463,148.00"
09.12.96,128.7539,,,"321,475,481.00"
10.12.96,129.8826,,,"349,749,581.00"
11.12.96,127.6583,,,"344,622,965.00"
12.12.96,128.0781,,,"300,964,804.00"
13.12.96,126.9925,,,"347,039,212.00"
16.12.96,127.7262,,,"265,279,260.00"
17.12.96,125.7144,,,"272,377,759.00"
18.12.96,126.148,,,"285,029,986.00"
19.12.96,127.0004,,,"444,273,035.00"
20.12.96,128.5062,,,"448,374,958.00"
